10.56.1.5 : [15], 84 bytes, 3.69 ms (1.75 avg, 0% loss)
10.56.1.4 : [15], 84 bytes, 30.7 ms (32.1 avg, 0% loss)
10.56.1.1 : [16], 84 bytes, 12.0 ms (16.1 avg, 0% loss)
10.56.1.2 : [16], 84 bytes, 0.10 ms (0.09 avg, 0% loss)
10.56.1.3 : [16], 84 bytes, 35.5 ms (41.0 avg, 0% loss)
10.56.1.5 : [16], 84 bytes, 2.77 ms (1.81 avg, 0% loss)
10.56.1.4 : [16], 84 bytes, 43.3 ms (32.7 avg, 0% loss)
10.56.1.1 : [17], 84 bytes, 12.1 ms (15.8 avg, 0% loss)
10.56.1.2 : [17], 84 bytes, 0.11 ms (0.09 avg, 0% loss)
10.56.1.3 : [17], 84 bytes, 39.1 ms (40.9 avg, 0% loss)
10.56.1.5 : [17], 84 bytes, 2.63 ms (1.86 avg, 0% loss)
10.56.1.4 : [17], 84 bytes, 33.4 ms (32.8 avg, 0% loss)
10.56.1.1 : [18], 84 bytes, 12.9 ms (15.7 avg, 0% loss)
10.56.1.2 : [18], 84 bytes, 0.07 ms (0.09 avg, 0% loss)
10.56.1.3 : [18], 84 bytes, 38.0 ms (40.8 avg, 0% loss)
10.56.1.5 : [18], 84 bytes, 1.64 ms (1.85 avg, 0% loss)
10.56.1.4 : [18], 84 bytes, 32.7 ms (32.8 avg, 0% loss)
10.56.1.1 : [19], 84 bytes, 13.4 ms (15.6 avg, 0% loss)
10.56.1.2 : [19], 84 bytes, 0.09 ms (0.09 avg, 0% loss)
10.56.1.3 : [19], 84 bytes, 38.8 ms (40.7 avg, 0% loss)
10.56.1.5 : [19], 84 bytes, 1.25 ms (1.82 avg, 0% loss)
10.56.1.4 : [19], 84 bytes, 34.3 ms (32.8 avg, 0% loss)
10.56.1.1 : [20], 84 bytes, 14.5 ms (15.5 avg, 0% loss)
10.56.1.2 : [20], 84 bytes, 0.13 ms (0.09 avg, 0% loss)
10.56.1.3 : [20], 84 bytes, 37.2 ms (40.5 avg, 0% loss)
10.56.1.5 : [20], 84 bytes, 1.30 ms (1.79 avg, 0% loss)
10.56.1.4 : [20], 84 bytes, 31.1 ms (32.8 avg, 0% loss)
10.56.1.1 : [21], 84 bytes, 12.2 ms (15.4 avg, 0% loss)
10.56.1.2 : [21], 84 bytes, 0.09 ms (0.09 avg, 0% loss)
10.56.1.3 : [21], 84 bytes, 44.6 ms (40.7 avg, 0% loss)
10.56.1.5 : [21], 84 bytes, 1.30 ms (1.77 avg, 0% loss)
10.56.1.4 : [21], 84 bytes, 30.1 ms (32.6 avg, 0% loss)
10.56.1.1 : [22], 84 bytes, 13.2 ms (15.3 avg, 0% loss)
10.56.1.2 : [22], 84 bytes, 0.13 ms (0.10 avg, 0% loss)
10.56.1.3 : [22], 84 bytes, 42.0 ms (40.8 avg, 0% loss)
10.56.1.5 : [22], 84 bytes, 1.22 ms (1.75 avg, 0% loss)
10.56.1.4 : [22], 84 bytes, 27.1 ms (32.4 avg, 0% loss)
10.56.1.1 : [23], 84 bytes, 20.1 ms (15.5 avg, 0% loss)
10.56.1.2 : [23], 84 bytes, 0.13 ms (0.10 avg, 0% loss)
10.56.1.3 : [23], 84 bytes, 40.6 ms (40.7 avg, 0% loss)
10.56.1.5 : [23], 84 bytes, 1.28 ms (1.73 avg, 0% loss)
10.56.1.4 : [23], 84 bytes, 36.0 ms (32.5 avg, 0% loss)
10.56.1.1 : [24], 84 bytes, 15.9 ms (15.5 avg, 0% loss)
10.56.1.2 : [24], 84 bytes, 0.12 ms (0.10 avg, 0% loss)
10.56.1.3 : [24], 84 bytes, 35.6 ms (40.5 avg, 0% loss)
10.56.1.5 : [24], 84 bytes, 1.37 ms (1.71 avg, 0% loss)
10.56.1.4 : [24], 84 bytes, 39.9 ms (32.8 avg, 0% loss)
10.56.1.1 : [25], 84 bytes, 20.2 ms (15.7 avg, 0% loss)
10.56.1.2 : [25], 84 bytes, 0.16 ms (0.10 avg, 0% loss)
10.56.1.3 : [25], 84 bytes, 51.6 ms (41.0 avg, 0% loss)
10.56.1.5 : [25], 84 bytes, 0.98 ms (1.68 avg, 0% loss)
10.56.1.4 : [25], 84 bytes, 27.9 ms (32.6 avg, 0% loss)
10.56.1.1 : [26], 84 bytes, 14.1 ms (15.6 avg, 0% loss)
10.56.1.2 : [26], 84 bytes, 0.14 ms (0.10 avg, 0% loss)
10.56.1.3 : [26], 84 bytes, 36.8 ms (40.8 avg, 0% loss)
10.56.1.5 : [26], 84 bytes, 1.34 ms (1.67 avg, 0% loss)
10.56.1.4 : [26], 84 bytes, 33.3 ms (32.7 avg, 0% loss)
10.56.1.1 : [27], 84 bytes, 13.2 ms (15.5 avg, 0% loss)
10.56.1.2 : [27], 84 bytes, 0.13 ms (0.10 avg, 0% loss)
10.56.1.3 : [27], 84 bytes, 38.7 ms (40.7 avg, 0% loss)
10.56.1.5 : [27], 84 bytes, 1.36 ms (1.66 avg, 0% loss)
10.56.1.4 : [27], 84 bytes, 37.6 ms (32.9 avg, 0% loss)
10.56.1.1 : [28], 84 bytes, 18.2 ms (15.6 avg, 0% loss)
10.56.1.2 : [28], 84 bytes, 0.10 ms (0.10 avg, 0% loss)
